politician,date,answer,pct_estimate,lo,hi
Joe Biden,2023-05-06,Approve,41.790701593565664,37.33134447763682,46.25005870949451
Joe Biden,2023-05-06,Disapprove,54.07419661698123,49.57445882494607,58.573934409016395
Joe Biden,2023-05-05,Approve,41.77724286509341,37.31788574916457,46.23659998102226
Joe Biden,2023-05-05,Disapprove,53.99778068423046,49.4980428921953,58.497518476265626
Joe Biden,2023-05-04,Approve,41.575628859744384,37.11464919204472,46.036608527444045
Joe Biden,2023-05-04,Disapprove,53.70637403481286,49.206945400754954,58.20580266887077
Joe Biden,2023-05-03,Approve,41.49132796779271,37.030348300093046,45.95230763549237
Joe Biden,2023-05-03,Disapprove,53.61120341730633,49.11177478324842,58.110632051364234
Joe Biden,2023-05-02,Approve,41.79276873326729,37.33240750259965,46.253129963934924
Joe Biden,2023-05-02,Disapprove,53.541017858776534,49.041584486399046,58.04045123115402
Joe Biden,2023-05-01,Approve,41.65884541129446,37.196607900966974,46.12108292162194
Joe Biden,2023-05-01,Disapprove,53.6811987936126,49.18372613268414,58.17867145454106
Joe Biden,2023-04-30,Approve,41.41195109520898,36.951881208470866,45.87202098194709
Joe Biden,2023-04-30,Disapprove,53.83823800327612,49.34399888758283,58.33247711896941
Joe Biden,2023-04-29,Approve,41.44698920177816,36.98582241976728,45.90815598378904
Joe Biden,2023-04-29,Disapprove,53.866782717083034,49.37138407994938,58.36218135421669
Joe Biden,2023-04-28,Approve,41.45894458955854,36.99777780754766,45.92011137156942
Joe Biden,2023-04-28,Disapprove,53.85982047155671,49.364421834423055,58.35521910869036
Joe Biden,2023-04-27,Approve,41.52981821381198,37.0686514318011,45.990984995822856
Joe Biden,2023-04-27,Disapprove,53.81941825949262,49.324019622358975,58.31481689662628
Joe Biden,2023-04-26,Approve,41.721152843167886,37.25873607704406,46.18356960929171
Joe Biden,2023-04-26,Disapprove,53.753365069778006,49.25592541966347,58.25080471989254
Joe Biden,2023-04-25,Approve,41.99571156989937,37.53329480377555,46.458128336023194
Joe Biden,2023-04-25,Disapprove,53.60637346721761,49.10893381710307,58.103813117332145
Joe Biden,2023-04-24,Approve,41.94811127846775,37.49390368480791,46.40231887212759
Joe Biden,2023-04-24,Disapprove,53.66529602813043,49.17179706868315,58.158794987577714
Joe Biden,2023-04-23,Approve,41.35138968353954,36.906571613688214,45.79620775339086
Joe Biden,2023-04-23,Disapprove,53.652151563020425,49.17402152830921,58.13028159773164
Joe Biden,2023-04-22,Approve,41.722173702646366,37.27579274470521,46.168554660587525
Joe Biden,2023-04-22,Disapprove,53.310722177596105,48.83235577909857,57.78908857609364
Joe Biden,2023-04-21,Approve,41.72457516859638,37.27819421065522,46.17095612653754
Joe Biden,2023-04-21,Disapprove,53.31485313128824,48.8364867327907,57.79321952978577
Joe Biden,2023-04-20,Approve,41.73069054915762,37.28430959121646,46.17707150709878
Joe Biden,2023-04-20,Disapprove,53.31693740301979,48.83857100452226,57.79530380151733
Joe Biden,2023-04-19,Approve,41.70367799421991,37.25619963170982,46.15115635673
Joe Biden,2023-04-19,Disapprove,53.53251703534151,49.05296707110705,58.01206699957599
Joe Biden,2023-04-18,Approve,41.89716323974997,37.44871474816946,46.345611731330486
Joe Biden,2023-04-18,Disapprove,53.49580934226569,49.01554899685363,57.97606968767774
Joe Biden,2023-04-17,Approve,42.38291879951079,37.934608199607176,46.831229399414404
Joe Biden,2023-04-17,Disapprove,53.06075345191469,48.57763061546562,57.54387628836376
Joe Biden,2023-04-16,Approve,41.86235759671021,37.4263655248816,46.298349668538826
Joe Biden,2023-04-16,Disapprove,53.49128491096885,49.022580252345726,57.959989569591976
Joe Biden,2023-04-15,Approve,42.3582279634473,37.92296444461476,46.79349148227983
Joe Biden,2023-04-15,Disapprove,53.28751051845966,48.81789792871388,57.75712310820544
Joe Biden,2023-04-14,Approve,42.17600241720251,37.740461062233024,46.611543772172
Joe Biden,2023-04-14,Disapprove,53.30379154918735,48.833842325704296,57.773740772670415
Joe Biden,2023-04-13,Approve,41.80785415347265,37.379171030837995,46.2365372761073
Joe Biden,2023-04-13,Disapprove,53.06497523868137,48.60180704710671,57.52814343025603
